SEQ_ID,UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,LOCALE
154,106829,704400,7044,Crowley s Ridge Technical Institute,Forrest City,AR,www.crti.tec.ar.us,www.crti.tec.ar.us,32
155,106883,1226000,12260,East Arkansas Community College,Forrest City,AR,WWW.EACC.EDU,www.eacc.edu/Students/financial_aid/net_price_calc.html,32
156,106892,2272400,22724,Eastern College of Health Vocations-Little Rock,Little Rock,AR,www.easterncollege.edu,www.easterncollege.edu,12
157,106908,3124900,31249,Imagine-Paul Mitchell Partner School,North Little Rock,AR,www.pmlittlerock.com,www.pmlittlerock.com,13
158,106980,1210500,12105,National Park Community College,Hot Springs,AR,www.npcc.edu,www.npcc.edu/admissions/financialaid/npcalc/npcalc.htm,23
159,106999,2073500,20735,University of Arkansas Community College-Batesville,Batesville,AR,www.uaccb.edu,www.uaccb.edu,33
160,107044,109700,1097,Harding University,Searcy,AR,www.harding.edu,www.harding.edu/admissions/npc.html,32
161,107071,109800,1098,Henderson State University,Arkadelphia,AR,www.hsu.edu,www.hsu.edu/financial-aid/npcalc.htm,32
162,107080,109900,1099,Hendrix College,Conway,AR,www.hendrix.edu,www.hendrix.edu/Admission/PriceCalculator/,13
163,107099,3007100,30071,Hot Springs Beauty College,Hot Springs,AR,hotspringsbeautycollege.com,hotspringsbeautycollege.com,13
164,107141,110000,1100,John Brown University,Siloam Springs,AR,www.jbu.edu,info.eaglenet.jbu.edu/npc,32
165,107211,2525800,25258,Lees School of Cosmetology,North Little Rock,AR,LSCTraining.com,www.lsctraining.com,13
166,107220,2341700,23417,Career Academy of Hair Design,Springdale,AR,www.beautynwa.com,www.beautynwa.com,13
167,107275,2287400,22874,Marsha Kay Beauty College,Mountain Home,AR,marshakaybeautycollege.com,marshakaybeautycollege.com,33
168,107293,1074100,10741,Academy of Salon and Spa,Fort Smith,AR,www.academysalonspa.com,www.academysalonspa.com,13
169,107318,2348200,23482,Mid-South Community College,West Memphis,AR,www.midsouthcc.edu,www.netpricecalc.com/calc/midsouthcc,21
170,107327,1286000,12860,Arkansas Northeastern College,Blytheville,AR,www.anc.edu,www.anc.edu,41
171,107442,2284200,22842,New Tyler Barber College Inc,North Little Rock,AR,newtylerbarbercollege.com,newtylerbarbercollege.com,13
172,107460,1226100,12261,North Arkansas College,Harrison,AR,www.northark.edu,www.northark.edu/financialaid/tuition_calculator.aspx,33
173,107488,2073700,20737,Northwest Technical Institute,Springdale,AR,www.nwti.edu,nwti.edu/netprice/npcalc.htm,13
174,107512,110200,1102,Ouachita Baptist University,Arkadelphia,AR,www.obu.edu,www.obu.edu/finaid/,32
175,107521,997600,9976,College of the Ouachitas,Malvern,AR,www.coto.edu,www.coto.edu/sites/default/static/netpricecalc/npcalc.htm,31
176,107549,2087000,20870,Ozarka College,Melbourne,AR,www.ozarka.edu,www.ozarka.edu/finaid/npcalc.cfm,43
177,107558,109400,1094,University of the Ozarks,Clarksville,AR,www.ozarks.edu,admissions.ozarks.edu/secure/calc/,33
178,107585,524500,5245,University of Arkansas Community College-Morrilton,Morrilton,AR,www.uaccm.edu,www.uaccm.edu,32
179,107600,110300,1103,Philander Smith College,Little Rock,AR,www.philander.edu,www.philander.edu/financial-aid/npc.aspx,12
180,107619,110400,1104,Phillips Community College of the University of Arkansas,Helena,AR,www.pccua.edu,www.pccua.edu//IR/npcalc.htm,41
181,107637,570700,5707,Southeast Arkansas College,Pine Bluff,AR,www.seark.edu,www.seark.edu/financial-aid/net-price-calculator,13
